"","name","rf","svm","cart","lda","gbm","dl"
"1","adenine",0.107269887741437,0.643462059620596,0,0.643462059620596,0,0.856145024299622
"2","adenosine",0.0931115587223344,0.508130081300813,0,0.508130081300813,0,0.714142978191376
"3","alanine",0.0647546473134709,0.566000451671183,0,0.566000451671183,0,0.852194488048553
"4","aminomalonate",0.0256414215291872,0.597222222222222,0,0.597222222222222,0,0.756957471370697
"5","arabinose",0.269167193722186,0.600158084914182,0,0.600158084914182,2.54673467875667,0.835379421710968
"6","asparagine",0.0916085285951403,0.574751580849142,0,0.574751580849142,0.531228688184536,0.859100341796875
"7","benzylalcohol",0.0835661836485275,0.6318315266486,0,0.6318315266486,0,0.847396910190582
"8","cholesterol",0.488368282567941,0.523486901535682,0,0.523486901535682,0.222165771316269,0.740598082542419
"9","citrulline",0.201354698830641,0.658254290876242,0,0.658254290876242,0,0.846692383289337
"10","creatinine",0.0563354787593239,0.631210478771454,0,0.631210478771454,0.323745871750708,0.938612103462219
"11","cysteine",0.623637098469541,0.564137308039747,0,0.564137308039747,1.67567939196722,0.806612372398376
"12","cystine",0.0591153524837736,0.532012195121951,0,0.532012195121951,0,0.783852219581604
"13","dehydroascorbate",0.0549130434782609,0.515469738030714,0,0.515469738030714,0,0.737050414085388
"14","dodecanol",0.397051709888266,0.625903342366757,4.69008310871519,0.625903342366757,0,0.829449951648712
"15","ethanolamine",0.0355502004607891,0.550417795844625,0,0.550417795844625,0,0.773895680904388
"16","FAD",0.12465656094091,0.542513550135501,0,0.542513550135501,0,0.788754522800446
"17","fructose",0.310281783614275,0.562725835591689,0,0.562725835591689,1.1943888279958,0.941240072250366
"18","glucose",0.544599793303421,0.645833333333333,0,0.645833333333333,1.30602469268846,0.784254193305969
"19","glutamine",0.145340483296106,0.699074074074074,0,0.699074074074074,0.993800262408588,0.69395250082016
"20","glutathione",0.102720202592856,0.549232158988257,0,0.549232158988257,0,0.933661580085754
"21","glycerol",0.0348237179487179,0.604279584462511,0,0.604279584462511,1.54415898472623,0.817298233509064
"22","glycine",0.0233424242424242,0.572210930442638,0,0.572210930442638,0.250562067531928,0.932044088840485
"23","guanine",0.105970952846146,0.534044715447154,0,0.534044715447154,0,0.850615739822388
"24","guanosine",0.171383099512524,0.523882113821138,0,0.523882113821138,0.650421702014871,0.764671444892883
"25","homoserine",0.0646970288115246,0.561427280939476,0,0.561427280939476,0,0.89600533246994
"26","hydroxylamine",0.058880089034345,0.579889340560072,0,0.579889340560072,0,0.756499350070953
"27","hypoxanthine",1.43702496119484,0.637985546522132,0,0.637985546522132,3.09850801665426,0.839230835437775
"28","inosine",0.933716896892929,0.528963414634146,0,0.528963414634146,1.17423420705414,0.838045597076416
"29","inulobiose",0.165435211132836,0.568428184281843,0,0.568428184281843,0.58848762359607,0.872911334037781
"30","isoleucine",0.198210801341279,0.669771906052394,0,0.669771906052394,0,0.885202646255493
"31","leucine",0.0925475968193812,0.518970189701897,0,0.518970189701897,0.503408510343314,0.872387290000916
"32","levoglucosan",0.0772952380952381,0.513719512195122,0,0.513719512195122,0.533920010273282,0.841330230236053
"33","lysine",0.159942601351292,0.550700090334237,0,0.550700090334237,0,0.908802270889282
"34","lyxitol",0.270187590755909,0.60546522131888,0,0.60546522131888,0,0.780063390731812
"35","malate",0.11409913447877,0.645833333333333,0,0.645833333333333,0.451192183534667,0.782774865627289
"36","maltose",0.489281896690843,0.638888888888889,4.66666666666667,0.638888888888889,0,0.863581597805023
